Cell_type	Gene_symbol	Gene_chr	Gene_TSS	Gene_Case_pct	GGene_Control_pct	ene_sc_Log2FC	Gene_sc_p_val_adj	Gene_bulk_Log2FC	Gene_bulk_pval	Peak_chr	Peak_start	Peak_end	Peak_sc_log2FC	Peak_sc_p_val_adj	Peak_bulk_Log2FC	Peak_bulk_pval	ATAC_RNA_Bayesian_prob	TFs
CD4 TCM	PLK3	1	44800376	0.248000	0.190000	0.140246	5.11179E-35	1.006164	2.39956E-05	1	44809975	44810475	1.142175	0.000158106	0.923507	0.00833501	0.999951	ZNF148(0.90), ZNF740(0.87), 
CD4 TCM	PLK3	1	44800376	0.248000	0.190000	0.140246	5.11179E-35	1.006164	2.39956E-05	1	44811703	44812203	1.436487	0.00356223	1.970701	0.00487766	0.999897	ZNF350(0.89), PURA(0.84), 
CD4 TCM	PLK3	1	44800376	0.248000	0.190000	0.140246	5.11179E-35	1.006164	2.39956E-05	1	44812683	44813183	2.077652	8.24225E-07	2.012494	0.00169377	0.994635	PLAGL1(0.97), KLF3(0.90), ZNF350(0.88), 
CD4 TCM	PLK3	1	44800376	0.248000	0.190000	0.140246	5.11179E-35	1.006164	2.39956E-05	1	44822722	44823222	2.194922	0.0019302	2.641679	2.05523E-06	0.999558	ZNF740(0.94), ZNF350(0.94), ZNF148(0.86), TFAP2C(0.83), KLF2(0.80), 
CD4 TCM	PMAIP1	18	59899995	0.199000	0.133000	0.139859	1.43974E-47	1.621405	0.0199539	18	59932789	59933289	-0.919162	7.05441E-05	-0.942245	0.000475063	0.999484	SP1(1.00), PURA(0.97), ZNF148(0.86), 
CD4 TCM	PNISR	6	99425345	0.695000	0.809000	-0.226035	8.2744E-121	-0.327268	0.000101108	6	99484452	99484952	-0.761518	0.0016676	-0.440427	0.0282212	0.988342	SP6(1.00), 
CD4 TCM	PNISR	6	99425345	0.695000	0.809000	-0.226035	8.2744E-121	-0.327268	0.000101108	6	99602554	99603054	1.811090	3.59037E-13	1.971405	0.000361486	0.982912	KLF6(1.00), 
CD4 TCM	PNRC1	6	89080750	0.823000	0.761000	0.211985	2.46025E-85	0.364650	0.00738424	6	89033390	89033890	-1.232775	0.0268376	-1.127412	0.014292	0.961915	
CD4 TCM	PNRC1	6	89080750	0.823000	0.761000	0.211985	2.46025E-85	0.364650	0.00738424	6	89083604	89084104	-1.834420	0.00120203	-1.721703	0.00236213	0.973987	
CD4 TCM	PNRC1	6	89080750	0.823000	0.761000	0.211985	2.46025E-85	0.364650	0.00738424	6	89084632	89085132	-3.151255	0.000416655	-1.650689	0.00234693	0.996565	PATZ1(0.93), 
CD4 TCM	PPP1R10	6	30617243	0.327000	0.234000	0.245168	2.63978E-89	0.652441	0.00102383	6	31042902	31043402	1.384995	0.0179232	1.586397	0.0115852	0.998103	
CD4 TCM	PPP1R15A	19	48872391	0.627000	0.292000	0.812966	0	2.153476	7.25217E-10	19	48424678	48425178	-0.365371	0.000121325	-0.390307	0.0147162	1	KLF6(0.91), ZNF148(0.83), 
CD4 TCM	PPP1R15A	19	48872391	0.627000	0.292000	0.812966	0	2.153476	7.25217E-10	19	48444009	48444509	1.412391	0.0410392	1.497946	0.0122156	0.998383	EGR1(1.00), KLF6(0.99), ZNF148(0.91), ZNF350(0.87), 
CD4 TCM	PPP1R15A	19	48872391	0.627000	0.292000	0.812966	0	2.153476	7.25217E-10	19	48560240	48560740	1.454301	0.030926	1.968366	0.00943832	0.99999	PLAGL1(0.96), 
CD4 TCM	PPP1R15A	19	48872391	0.627000	0.292000	0.812966	0	2.153476	7.25217E-10	19	48617354	48617854	-1.558395	0.0301087	-1.363451	0.031277	0.986376	
CD4 TCM	PPP1R15A	19	48872391	0.627000	0.292000	0.812966	0	2.153476	7.25217E-10	19	48738145	48738645	0.510894	0.0269888	0.427542	0.0361983	0.967364	SP1(0.97), KLF2(0.85), 
CD4 TCM	PPP1R15A	19	48872391	0.627000	0.292000	0.812966	0	2.153476	7.25217E-10	19	48906807	48907307	1.588272	0.0112522	2.543134	5.48106E-05	0.999998	SP1(0.94), SP6(0.89), ZFY(0.85), 
CD4 TCM	PPP1R15A	19	48872391	0.627000	0.292000	0.812966	0	2.153476	7.25217E-10	19	48954647	48955147	2.063204	2.08153E-06	1.993072	0.0044493	0.999996	KLF6(1.00), EGR1(0.99), ZNF148(0.99), SP1(0.99), SP2(0.94), 
CD4 TCM	PPP1R15A	19	48872391	0.627000	0.292000	0.812966	0	2.153476	7.25217E-10	19	48969782	48970282	-0.775938	0.000221199	-0.911138	0.0017235	0.999762	PATZ1(0.99), TFAP2C(0.95), PLAGL1(0.88), SP1(0.88), SP2(0.84), ZFY(0.83), ZNF148(0.83), 
CD4 TCM	PPP1R15A	19	48872391	0.627000	0.292000	0.812966	0	2.153476	7.25217E-10	19	49134183	49134683	2.213201	0.039536	1.336277	0.020941	0.955915	ZFY(0.99), KLF2(0.87), 
CD4 TCM	PTGER4	5	40679914	0.261000	0.213000	0.121220	9.75627E-23	0.906638	0.00124691	5	40435107	40435607	0.763752	0.00153011	1.486114	0.0263262	0.986772	
CD4 TCM	PTGER4	5	40679914	0.261000	0.213000	0.121220	9.75627E-23	0.906638	0.00124691	5	40585399	40585899	-0.344866	0.0101609	-0.289831	0.030711	0.997564	
CD4 TCM	PTGES3	12	56688408	0.548000	0.687000	-0.142047	4.44595E-69	-0.393798	0.000195276	12	56341124	56341624	-0.124260	0.0131808	-0.322777	0.000208958	0.971371	ZNF148(0.97), PATZ1(0.97), SP1(0.97), SP2(0.89), ZNF740(0.84), SP4(0.81), ZNF281(0.80), 
CD4 TCM	PTGES3	12	56688408	0.548000	0.687000	-0.142047	4.44595E-69	-0.393798	0.000195276	12	57148621	57149121	0.611673	1.06848E-07	0.505123	0.030256	0.999562	PURA(0.99), KLF3(0.98), ZNF148(0.85), 
CD4 TCM	PTPRC	1	198638967	0.909000	0.925000	-0.181316	1.5703E-86	-0.433655	0.00171485	1	198179421	198179921	1.319316	0.0023018	0.763156	0.00756811	0.994639	
CD4 TCM	PTPRC	1	198638967	0.909000	0.925000	-0.181316	1.5703E-86	-0.433655	0.00171485	1	198649851	198650351	0.766493	0.0236265	0.980269	0.0146665	0.996833	
CD4 TCM	PTPRC	1	198638967	0.909000	0.925000	-0.181316	1.5703E-86	-0.433655	0.00171485	1	198657456	198657956	1.248589	3.21535E-09	1.288309	6.84554E-05	0.998935	KLF3(1.00), 
CD4 TCM	PTPRC	1	198638967	0.909000	0.925000	-0.181316	1.5703E-86	-0.433655	0.00171485	1	198679439	198679939	0.966727	0.00609497	0.588925	0.0396475	0.999848	EGR1(1.00), KLF3(0.98), SP1(0.96), KLF6(0.96), SP3(0.95), PLAG1(0.91), 
CD4 TCM	RASSF1	3	50340936	0.207000	0.165000	0.110748	3.12609E-20	0.350658	0.00291626	3	50107086	50107586	-1.001222	0.000393902	-0.600922	0.0147433	0.974893	
CD4 TCM	RASSF1	3	50340936	0.207000	0.165000	0.110748	3.12609E-20	0.350658	0.00291626	3	50265751	50266251	1.622013	0.00317267	1.930876	0.000485024	0.97882	PATZ1(0.99), KLF16(0.97), PLAGL1(0.95), PLAG1(0.91), 
CD4 TCM	RASSF1	3	50340936	0.207000	0.165000	0.110748	3.12609E-20	0.350658	0.00291626	3	50665543	50666043	-0.555762	0.000892391	-0.419873	0.0137332	0.987977	
CD4 TCM	RBBP4	1	32651207	0.153000	0.249000	-0.117675	7.8054E-74	-0.659359	2.36145E-07	1	32179722	32180222	0.459968	0.0365477	0.370266	0.0159225	0.985749	KLF6(1.00), PLAG1(0.98), PURA(0.96), SP1(0.94), PLAGL1(0.93), ARNT2(0.92), EGR1(0.89), ZFY(0.88), ZBTB7A(0.83), 
CD4 TCM	RBBP4	1	32651207	0.153000	0.249000	-0.117675	7.8054E-74	-0.659359	2.36145E-07	1	32273077	32273577	0.653264	0.0355426	0.876926	0.00238724	0.976851	ZNF740(0.99), EGR1(0.96), KLF3(0.93), PATZ1(0.89), 
CD4 TCM	RBBP4	1	32651207	0.153000	0.249000	-0.117675	7.8054E-74	-0.659359	2.36145E-07	1	32337279	32337779	0.857739	0.0229258	1.509419	0.0203744	0.999969	ZNF350(1.00), SP1(1.00), KLF3(0.99), PURA(0.98), KLF6(0.96), ZNF740(0.88), ZNF148(0.87), PATZ1(0.86), SP2(0.81), 
CD4 TCM	RBBP4	1	32651207	0.153000	0.249000	-0.117675	7.8054E-74	-0.659359	2.36145E-07	1	32798977	32799477	0.908472	0.0141637	1.093788	0.00331565	0.998458	
CD4 TCM	RBM3	23	48574483	0.723000	0.679000	0.179472	1.86996E-60	0.341579	0.00457836	23	49001501	49002001	0.903529	3.31089E-05	0.888603	0.00888223	0.994165	ZNF350(1.00), KLF6(0.99), PLAG1(0.98), EGR1(0.96), PATZ1(0.90), 
CD4 TCM	RBM39	20	35742336	0.743000	0.717000	0.159779	2.87202E-43	0.391731	5.31965E-06	20	36182255	36182755	-0.685295	0.000362384	-0.573688	0.00228661	0.965111	
CD4 TCM	RBM8A	1	145927484	0.439000	0.423000	0.116876	1.13737E-11	0.281833	0.00221877	1	145978020	145978520	0.834151	0.0034752	1.685633	0.00144143	0.955328	PATZ1(0.95), 
CD4 TCM	RGCC	13	41457549	0.359000	0.327000	0.272084	5.58881E-24	0.691530	0.023345	13	41554933	41555433	0.269472	0.0190087	0.397581	0.00762445	0.995284	ZFY(0.92), 
CD4 TCM	RGS1	1	192575772	0.174000	0.083000	0.223265	2.52357E-113	2.190022	6.89631E-05	1	192516721	192517221	0.888638	2.3423E-13	0.581342	0.0191108	0.999999	
CD4 TCM	RGS1	1	192575772	0.174000	0.083000	0.223265	2.52357E-113	2.190022	6.89631E-05	1	192807231	192807731	0.573943	0.046782	0.597975	0.0129536	0.99976	
CD4 TCM	S100A11	1	152037004	0.570000	0.634000	-0.325945	1.21863E-91	-1.106566	0.00775286	1	151826016	151826516	1.609678	3.18846E-07	1.952285	0.00407863	0.974076	PATZ1(0.98), ZNF350(0.94), SP1(0.93), ZNF740(0.89), 
CD4 TCM	S100A11	1	152037004	0.570000	0.634000	-0.325945	1.21863E-91	-1.106566	0.00775286	1	151941224	151941724	1.001842	2.3451E-05	1.113989	0.000410828	0.997885	HIC2(1.00), KLF3(0.98), ZNF350(0.97), 
CD4 TCM	S100A11	1	152037004	0.570000	0.634000	-0.325945	1.21863E-91	-1.106566	0.00775286	1	152036149	152036649	0.697178	0.0151282	1.891734	0.00303432	0.992921	KLF6(0.94), 
CD4 TCM	S100A11	1	152037004	0.570000	0.634000	-0.325945	1.21863E-91	-1.106566	0.00775286	1	152112021	152112521	-2.077358	0.005535	-0.768650	0.00626839	0.995064	
CD4 TCM	S100A11	1	152037004	0.570000	0.634000	-0.325945	1.21863E-91	-1.106566	0.00775286	1	152215678	152216178	-3.458756	0.000415415	-1.602242	0.0179758	0.999825	KLF3(0.97), 
CD4 TCM	S100A11	1	152037004	0.570000	0.634000	-0.325945	1.21863E-91	-1.106566	0.00775286	1	152392809	152393309	-0.909369	2.84844E-10	-0.956885	0.000552778	0.954988	
CD4 TCM	S100A11	1	152037004	0.570000	0.634000	-0.325945	1.21863E-91	-1.106566	0.00775286	1	152399004	152399504	-2.046252	0.00096002	-1.484352	0.000713514	0.994825	KLF3(0.90), 
CD4 TCM	S100A11	1	152037004	0.570000	0.634000	-0.325945	1.21863E-91	-1.106566	0.00775286	1	152459804	152460304	-1.040350	0.00346008	-0.700868	0.0340438	0.976769	
CD4 TCM	SAMHD1	20	36951708	0.339000	0.455000	-0.159048	1.56016E-68	-0.316022	0.000289927	20	36466206	36466706	1.043690	3.66131E-10	0.990288	0.00147921	0.98468	
CD4 TCM	SAMHD1	20	36951708	0.339000	0.455000	-0.159048	1.56016E-68	-0.316022	0.000289927	20	36470463	36470963	0.565980	6.47295E-07	0.474714	0.0092329	0.991186	HIC2(0.90), 
CD4 TCM	SAMHD1	20	36951708	0.339000	0.455000	-0.159048	1.56016E-68	-0.316022	0.000289927	20	36482574	36483074	0.638276	6.02704E-16	0.608780	0.00173657	0.981105	
CD4 TCM	SAMHD1	20	36951708	0.339000	0.455000	-0.159048	1.56016E-68	-0.316022	0.000289927	20	36582238	36582738	1.050257	1.01462E-15	0.954347	1.86522E-05	0.999903	SP1(1.00), HIC2(1.00), ZNF148(0.91), 
CD4 TCM	SBDS	7	66995586	0.559000	0.451000	0.293972	3.75006E-141	1.079066	0.00132169	7	66499999	66500499	1.056890	6.27033E-07	1.017549	0.00200992	0.999992	ZFY(0.91), KLF15(0.80), 
CD4 TCM	SBDS	7	66995586	0.559000	0.451000	0.293972	3.75006E-141	1.079066	0.00132169	7	66830831	66831331	1.832140	4.49598E-05	1.215977	0.01898	0.994676	
CD4 TCM	SERINC5	5	80256048	0.203000	0.310000	-0.144251	4.89499E-78	-0.357429	0.00411596	5	80141071	80141571	1.381323	2.98038E-13	1.209343	0.00072691	0.998092	
CD4 TCM	SERINC5	5	80256048	0.203000	0.310000	-0.144251	4.89499E-78	-0.357429	0.00411596	5	80466467	80466967	1.005810	0.000170955	1.864185	0.010851	0.97589	
CD4 TCM	SERTAD1	19	40425992	0.235000	0.059000	0.352545	0	2.434497	2.72276E-10	19	39958848	39959348	-1.497348	0.00178024	-0.830396	0.0113019	0.997718	PLAGL1(0.97), 
CD4 TCM	SGK1	6	134318058	0.105000	0.047000	0.118805	4.22272E-73	1.908024	4.11559E-06	6	133965741	133966241	1.112232	3.91233E-06	0.727619	0.00327909	0.999978	KLF3(1.00), PURA(0.93), SP3(0.88), 
CD4 TCM	SGK1	6	134318058	0.105000	0.047000	0.118805	4.22272E-73	1.908024	4.11559E-06	6	134346445	134346945	-0.299829	0.00516813	-0.421580	0.00237421	0.999716	SP1(0.99), PURA(0.96), KLF3(0.93), ZNF148(0.91), 
CD4 TCM	SLC25A45	11	65383701	0.103000	0.191000	-0.119639	1.55391E-82	-0.829327	9.70169E-08	11	65180554	65181054	1.605044	0.000180809	1.776714	0.000474175	0.999965	EGR1(1.00), SP1(0.98), ZNF350(0.98), KLF6(0.95), ZNF148(0.95), PLAG1(0.94), SP3(0.94), PURA(0.89), ZNF740(0.88), 
CD4 TCM	SLC25A45	11	65383701	0.103000	0.191000	-0.119639	1.55391E-82	-0.829327	9.70169E-08	11	65214146	65214646	-0.542059	0.000313717	-0.452127	0.019387	0.999697	KLF6(1.00), ZNF740(0.93), 
CD4 TCM	SLC25A45	11	65383701	0.103000	0.191000	-0.119639	1.55391E-82	-0.829327	9.70169E-08	11	65434636	65435136	0.787906	2.11752E-10	0.718997	0.00670919	0.994848	ZNF350(1.00), PLAGL1(0.97), 
CD4 TCM	SLC25A45	11	65383701	0.103000	0.191000	-0.119639	1.55391E-82	-0.829327	9.70169E-08	11	65504141	65504641	0.366948	0.011478	0.714641	0.0420313	0.992585	PATZ1(1.00), PURA(0.98), KLF16(0.92), SP1(0.92), ZNF740(0.90), SP2(0.85), KLF2(0.85), 
CD4 TCM	SLC38A2	12	46372773	0.390000	0.247000	0.326037	1.66962E-178	1.069440	3.26345E-05	12	46182907	46183407	-0.555227	3.92266E-06	-0.661686	0.00232218	0.994789	
CD4 TCM	SLC38A2	12	46372773	0.390000	0.247000	0.326037	1.66962E-178	1.069440	3.26345E-05	12	46188100	46188600	1.124753	0.000157384	1.017299	0.00356504	0.989444	
CD4 TCM	SLC38A2	12	46372773	0.390000	0.247000	0.326037	1.66962E-178	1.069440	3.26345E-05	12	46752549	46753049	0.679628	0.000691259	0.595352	0.0193823	0.999399	
CD4 TCM	SLC9A3R1	17	74748627	0.124000	0.213000	-0.104515	3.88069E-71	-0.902934	0.000257125	17	74571561	74572061	0.629747	0.00728769	0.798007	0.0031556	0.962905	SP2(0.80), 
CD4 TCM	SLC9A3R1	17	74748627	0.124000	0.213000	-0.104515	3.88069E-71	-0.902934	0.000257125	17	74641442	74641942	1.018873	0.00296234	1.616306	0.00573821	0.999971	SP4(0.97), SP1(0.94), SP3(0.90), SP6(0.87), 
CD4 TCM	SLC9A3R1	17	74748627	0.124000	0.213000	-0.104515	3.88069E-71	-0.902934	0.000257125	17	74642156	74642656	1.123888	1.05724E-11	0.913097	0.00060976	0.999994	
CD4 TCM	SLC9A3R1	17	74748627	0.124000	0.213000	-0.104515	3.88069E-71	-0.902934	0.000257125	17	74782992	74783492	-1.106558	1.44963E-12	-0.496986	0.00592755	0.999549	ZNF350(0.88), 
CD4 TCM	SLC9A3R1	17	74748627	0.124000	0.213000	-0.104515	3.88069E-71	-0.902934	0.000257125	17	74832349	74832849	-1.112814	0.011316	-1.150700	0.0299034	0.979633	SP1(0.98), SP6(0.98), KLF16(0.91), 
CD4 TCM	SLC9A3R1	17	74748627	0.124000	0.213000	-0.104515	3.88069E-71	-0.902934	0.000257125	17	74972551	74973051	-0.314404	0.0163251	-0.296995	0.00296649	0.994313	EGR1(1.00), PLAG1(1.00), SP6(0.98), ZNF148(0.97), ZBTB7A(0.96), ZFY(0.96), KLF6(0.96), PURA(0.92), KLF7(0.87), 
CD4 TCM	SNRPD1	18	21612313	0.385000	0.348000	0.124692	1.71704E-20	0.368749	0.000118192	18	21637312	21637812	-1.285967	9.26785E-11	-1.019522	4.34329E-07	0.999943	
CD4 TCM	SOCS1	16	11256182	0.376000	0.177000	0.420961	0	1.837431	8.61777E-09	16	10763335	10763835	-0.478250	3.99733E-06	-0.394957	0.00262175	0.996212	ZNF350(0.94), ZNF281(0.84), 
CD4 TCM	SOCS1	16	11256182	0.376000	0.177000	0.420961	0	1.837431	8.61777E-09	16	10879434	10879934	-1.102351	0.00513155	-1.080376	0.00240347	0.971161	PURA(0.89), SP1(0.88), KLF16(0.86), 
CD4 TCM	SOCS1	16	11256182	0.376000	0.177000	0.420961	0	1.837431	8.61777E-09	16	11094735	11095235	0.603511	0.031303	0.581310	0.0113262	0.99487	
CD4 TCM	SOCS1	16	11256182	0.376000	0.177000	0.420961	0	1.837431	8.61777E-09	16	11249187	11249687	2.285429	0.0253712	1.713511	5.79797E-11	0.988465	ZFY(0.98), EGR1(0.95), PURA(0.93), ZBTB7A(0.91), TFAP2C(0.85), 
CD4 TCM	SOCS1	16	11256182	0.376000	0.177000	0.420961	0	1.837431	8.61777E-09	16	11251984	11252484	3.071717	0.0140651	1.596648	4.945E-11	0.997727	PATZ1(0.96), PLAGL1(0.94), ARNT2(0.92), 
CD4 TCM	SOCS1	16	11256182	0.376000	0.177000	0.420961	0	1.837431	8.61777E-09	16	11297529	11298029	0.571128	0.00269516	0.621087	0.00171866	0.999791	ZNF350(1.00), SP1(1.00), HIC2(0.99), PURA(0.91), ZNF148(0.90), 
CD4 TCM	SOCS1	16	11256182	0.376000	0.177000	0.420961	0	1.837431	8.61777E-09	16	11298784	11299284	1.462638	0.000118216	1.142612	0.00350224	0.998735	
CD4 TCM	SOCS1	16	11256182	0.376000	0.177000	0.420961	0	1.837431	8.61777E-09	16	11304885	11305385	0.759747	1.84686E-09	0.525985	0.00799278	0.999727	
CD4 TCM	SOCS1	16	11256182	0.376000	0.177000	0.420961	0	1.837431	8.61777E-09	16	11309718	11310218	2.660571	2.46021E-06	1.940126	8.22607E-05	1	PURA(0.99), SP1(0.99), ZNF148(0.98), 
CD4 TCM	SOCS1	16	11256182	0.376000	0.177000	0.420961	0	1.837431	8.61777E-09	16	11310345	11310845	1.789842	9.2034E-22	1.441661	0.0187776	0.999921	KLF3(1.00), PURA(0.99), KLF16(0.95), HIC2(0.94), 
CD4 TCM	SOCS1	16	11256182	0.376000	0.177000	0.420961	0	1.837431	8.61777E-09	16	11325616	11326116	3.475342	0.0363177	1.553632	0.00425188	0.973966	PLAGL1(1.00), KLF3(0.96), HIC2(0.91), 
CD4 TCM	SOCS1	16	11256182	0.376000	0.177000	0.420961	0	1.837431	8.61777E-09	16	11341930	11342430	2.408713	0.0270294	0.829235	0.028136	0.954606	KLF6(0.88), 
CD4 TCM	SOCS1	16	11256182	0.376000	0.177000	0.420961	0	1.837431	8.61777E-09	16	11420735	11421235	1.109236	3.50586E-11	0.828996	0.011863	0.997819	SP1(1.00), KLF2(0.97), PLAGL1(0.96), PATZ1(0.96), PLAG1(0.93), 
CD4 TCM	SOCS1	16	11256182	0.376000	0.177000	0.420961	0	1.837431	8.61777E-09	16	11536077	11536577	0.714643	8.28917E-06	0.757572	0.000336801	0.999586	KLF3(1.00), KLF2(0.99), ZNF740(0.97), SP3(0.93), ZNF148(0.87), KLF7(0.86), 
CD4 TCM	SOCS1	16	11256182	0.376000	0.177000	0.420961	0	1.837431	8.61777E-09	16	11669534	11670034	1.695177	0.00269778	1.699999	0.00322223	0.999917	ZNF350(1.00), EGR1(1.00), HIC2(0.99), SP3(0.97), ZNF740(0.91), ZNF148(0.91), SP1(0.90), 
CD4 TCM	SOCS1	16	11256182	0.376000	0.177000	0.420961	0	1.837431	8.61777E-09	16	11728158	11728658	-0.315988	0.0352375	-0.711929	0.0229141	0.991925	
CD4 TCM	SPN	16	29662949	0.125000	0.220000	-0.129846	1.08111E-82	-0.753612	0.0157054	16	29319239	29319739	1.625983	0.00798437	1.906354	0.00186292	0.990475	PLAG1(0.92), 
CD4 TCM	SPN	16	29662949	0.125000	0.220000	-0.129846	1.08111E-82	-0.753612	0.0157054	16	29577503	29578003	0.485516	0.0165283	0.494550	0.0123766	0.999957	
CD4 TCM	SPN	16	29662949	0.125000	0.220000	-0.129846	1.08111E-82	-0.753612	0.0157054	16	29611664	29612164	0.650421	5.32302E-06	0.412009	0.00082334	0.99993	SP1(1.00), SP3(0.96), SP4(0.92), ZNF281(0.83), 
CD4 TCM	SRGN	10	69087602	0.842000	0.707000	0.176789	2.09679E-62	0.737991	0.0169941	10	68782115	68782615	-0.685595	0.00946512	-1.067429	0.000462817	0.983999	KLF6(1.00), SP1(0.84), 
CD4 TCM	SRGN	10	69087602	0.842000	0.707000	0.176789	2.09679E-62	0.737991	0.0169941	10	69094904	69095404	1.022219	0.018685	1.700428	0.0259925	0.992211	
CD4 TCM	SRGN	10	69087602	0.842000	0.707000	0.176789	2.09679E-62	0.737991	0.0169941	10	69313059	69313559	-0.925866	2.99324E-05	-0.658071	0.00524915	0.990317	KLF6(1.00), PLAGL1(0.94), SP1(0.90), 
CD4 TCM	SRGN	10	69087602	0.842000	0.707000	0.176789	2.09679E-62	0.737991	0.0169941	10	69315576	69316076	-0.818488	1.02414E-05	-0.719810	0.00351238	0.997003	ZNF148(0.99), KLF3(0.96), SP2(0.91), KLF6(0.91), PURA(0.89), 
CD4 TCM	SRGN	10	69087602	0.842000	0.707000	0.176789	2.09679E-62	0.737991	0.0169941	10	69317805	69318305	-1.454823	6.25491E-05	0.432062	0.0374846	0.975946	KLF7(0.93), 
CD4 TCM	SRP9	1	225777812	0.342000	0.476000	-0.139599	2.47435E-76	-0.653679	0.000268536	1	225444846	225445346	-0.414359	0.00128804	-0.356706	0.000552744	0.979682	SP4(0.88), SP2(0.83), PLAG1(0.82), 
CD4 TCM	SRP9	1	225777812	0.342000	0.476000	-0.139599	2.47435E-76	-0.653679	0.000268536	1	226002285	226002785	1.755598	8.44407E-11	1.262957	0.00339924	0.99999	
CD4 TCM	SRP9	1	225777812	0.342000	0.476000	-0.139599	2.47435E-76	-0.653679	0.000268536	1	226121662	226122162	0.432943	0.000899338	0.354017	0.00306057	0.999918	SP3(0.99), KLF7(0.97), KLF16(0.91), ZBTB7A(0.88), KLF6(0.88), SP1(0.85), 
CD4 TCM	SRSF7	2	38751494	0.816000	0.756000	0.395133	1.47419E-256	0.621445	1.15987E-07	2	38722122	38722622	-1.056441	0.000271436	-0.561964	0.00160523	0.971791	SP1(1.00), KLF2(0.98), KLF3(0.98), KLF16(0.94), PLAG1(0.87), 
CD4 TCM	SRSF7	2	38751494	0.816000	0.756000	0.395133	1.47419E-256	0.621445	1.15987E-07	2	38735646	38736146	-0.688286	0.0012173	-0.710828	0.0111684	0.999704	
CD4 TCM	SRSF7	2	38751494	0.816000	0.756000	0.395133	1.47419E-256	0.621445	1.15987E-07	2	38743460	38743960	-0.419803	0.000195725	-0.581396	0.0120343	0.993425	SP1(0.88), 
CD4 TCM	SRSF7	2	38751494	0.816000	0.756000	0.395133	1.47419E-256	0.621445	1.15987E-07	2	39109775	39110275	-0.441899	0.0448769	-0.456950	0.00348218	0.985379	KLF3(0.98), 
CD4 TCM	SRSF7	2	38751494	0.816000	0.756000	0.395133	1.47419E-256	0.621445	1.15987E-07	2	39126939	39127439	-0.644784	0.00089286	-0.963547	0.000325929	0.986073	HIC2(0.99), 
CD4 TCM	SRSF7	2	38751494	0.816000	0.756000	0.395133	1.47419E-256	0.621445	1.15987E-07	2	39135625	39136125	-0.258432	0.000399737	-0.253825	0.00719153	0.996502	EGR1(0.94), PURA(0.92), KLF15(0.87), ARNT2(0.83), 
CD4 TCM	SRSF7	2	38751494	0.816000	0.756000	0.395133	1.47419E-256	0.621445	1.15987E-07	2	39180840	39181340	-0.501743	0.000107409	-0.504299	0.000194429	0.999996	SP1(0.99), ZNF148(0.87), 
CD4 TCM	STMN3	20	63653610	0.199000	0.335000	-0.178223	2.10235E-122	-0.799843	0.000523167	20	63496600	63497100	1.398263	3.729E-06	1.384759	0.00347587	0.999463	SP1(1.00), SP4(0.95), PURA(0.91), PLAG1(0.90), ZNF148(0.84), 
CD4 TCM	STMN3	20	63653610	0.199000	0.335000	-0.178223	2.10235E-122	-0.799843	0.000523167	20	63520416	63520916	0.806905	0.000398385	0.725042	0.0253399	0.999989	KLF16(1.00), SP6(0.99), PATZ1(0.97), PLAGL1(0.91), 
CD4 TCM	STMN3	20	63653610	0.199000	0.335000	-0.178223	2.10235E-122	-0.799843	0.000523167	20	64068139	64068639	0.584204	0.0262826	0.565190	0.0176483	0.999545	ZNF350(0.99), PURA(0.85), 
CD4 TCM	TCF7	5	134114680	0.501000	0.631000	-0.178843	6.29151E-74	-0.285667	0.0253271	5	134087997	134088497	-0.606648	3.51791E-05	-0.421622	3.64124E-05	0.974111	KLF6(0.98), PLAGL1(0.97), 
CD4 TCM	TCF7	5	134114680	0.501000	0.631000	-0.178843	6.29151E-74	-0.285667	0.0253271	5	134127895	134128395	-1.158060	0.000239265	-1.317357	0.010918	0.981919	
CD4 TCM	TCF7	5	134114680	0.501000	0.631000	-0.178843	6.29151E-74	-0.285667	0.0253271	5	134130565	134131065	-1.024855	0.000989594	-0.462677	0.00306387	0.966127	KLF16(1.00), SP1(0.99), PLAG1(0.97), 
CD4 TCM	TGOLN2	2	85327989	0.242000	0.334000	-0.106057	8.94414E-48	-0.406221	1.15899E-05	2	85693440	85693940	0.833761	0.000519396	1.093164	4.4525E-05	0.989587	
CD4 TCM	THEM4	1	151909511	0.143000	0.225000	-0.101740	3.26838E-57	-0.585779	0.00428293	1	151826016	151826516	1.609678	3.18846E-07	1.952285	0.00407863	0.999681	PATZ1(0.98), ZNF350(0.94), SP1(0.93), ZNF740(0.89), 
CD4 TCM	THEM4	1	151909511	0.143000	0.225000	-0.101740	3.26838E-57	-0.585779	0.00428293	1	152036149	152036649	0.697178	0.0151282	1.891734	0.00303432	0.9881	KLF6(0.94), 
CD4 TCM	THEM4	1	151909511	0.143000	0.225000	-0.101740	3.26838E-57	-0.585779	0.00428293	1	152112021	152112521	-2.077358	0.005535	-0.768650	0.00626839	0.998477	
CD4 TCM	THEM4	1	151909511	0.143000	0.225000	-0.101740	3.26838E-57	-0.585779	0.00428293	1	152215678	152216178	-3.458756	0.000415415	-1.602242	0.0179758	0.999785	KLF3(0.97), 
CD4 TCM	THEM4	1	151909511	0.143000	0.225000	-0.101740	3.26838E-57	-0.585779	0.00428293	1	152392809	152393309	-0.909369	2.84844E-10	-0.956885	0.000552778	0.966425	
